reviewer,set_id,set_kind,variant,selected_ids,selected_characters,target_id,positive_target,rank,raw_match,adjusted_match,candidate_pool_percentile,top_pool_percent,top5_spread,core_xp_match,best_multi_character_branch_match,hidden_singleton_branch_match,branch_base_rank,multi_branch_rank,branch_final_rank,branch_rerank_bonus
aoko,aoko_set_03,cohesive,Experiment C,C019;C024;C022;C025,缘;Allan Melville;光森壱哉;平重衡,C026,YOFY,9,54.47476539228985,55.51813387039194,68.0,34.61538461538461,8.702759142175417,55.17,57.69,,9,11,9,0.0
aoko,aoko_set_04,mixed,Baseline,C001;C014;C026;C025,柳爱时;Impey Barbicane;YOFY;平重衡,C005,杨,26,45.725325848042566,46.684893508382416,0.0,100.0,3.2534865376984,47.07,53.88,,26,25,26,0.0
aoko,aoko_set_04,mixed,Experiment A,C001;C014;C026;C025,柳爱时;Impey Barbicane;YOFY;平重衡,C005,杨,26,46.68750196849075,47.48874643642864,0.0,100.0,3.1157782043650712,47.07,53.88,,26,25,26,0.0
aoko,aoko_set_04,mixed,Experiment B,C001;C014;C026;C025,柳爱时;Impey Barbicane;YOFY;平重衡,C005,杨,26,46.016515021351516,46.935310739917554,0.0,100.0,3.7725434578822075,47.07,53.88,,26,25,26,0.0
aoko,aoko_set_04,mixed,Experiment C,C001;C014;C026;C025,柳爱时;Impey Barbicane;YOFY;平重衡,C005,杨,26,47.03936458324162,47.79981016426327,0.0,100.0,2.9356869979569993,47.07,53.88,,26,25,26,0.0
aoko,aoko_set_04,mixed,Baseline,C005;C014;C026;C025,杨;Impey Barbicane;YOFY;平重衡,C001,柳爱时,26,42.75189123376623,43.588828790584415,0.0,100.0,6.050296313131319,43.95,50.06,,26,25,26,0.0
aoko,aoko_set_04,mixed,Experiment A,C005;C014;C026;C025,杨;Impey Barbicane;YOFY;平重衡,C001,柳爱时,26,43.32531385281385,44.0357790137987,0.0,100.0,5.116489583333326,43.95,50.06,,26,25,26,0.0
aoko,aoko_set_04,mixed,Experiment B,C005;C014;C026;C025,杨;Impey Barbicane;YOFY;平重衡,C001,柳爱时,25,44.19735072076196,45.02316877807709,4.0,96.15384615384616,3.9375002734239573,43.95,50.06,,26,25,26,0.0
aoko,aoko_set_04,mixed,Experiment C,C005;C014;C026;C025,杨;Impey Barbicane;YOFY;平重衡,C001,柳爱时,26,44.989471496718004,45.68517577100469,0.0,100.0,2.81880475281028,43.95,50.06,,26,25,26,0.0
aoko,aoko_set_04,mixed,Baseline,C005;C001;C026;C025,杨;柳爱时;YOFY;平重衡,C014,Impey Barbicane,26,42.771677061973115,44.95689549947311,0.0,100.0,5.331744284361477,45.03,50.07,,26,26,26,0.0
aoko,aoko_set_04,mixed,Experiment A,C005;C001;C026;C025,杨;柳爱时;YOFY;平重衡,C014,Impey Barbicane,26,43.813547362725,45.651665800225,0.0,100.0,4.111947260551943,45.03,50.07,,26,26,26,0.0
aoko,aoko_set_04,mixed,Experiment B,C005;C001;C026;C025,杨;柳爱时;YOFY;平重衡,C014,Impey Barbicane,26,43.8827795294749,45.998303156639444,0.0,100.0,4.139752505103111,45.03,50.07,,26,26,26,0.0
aoko,aoko_set_04,mixed,Experiment C,C005;C001;C026;C025,杨;柳爱时;YOFY;平重衡,C014,Impey Barbicane,26,45.070892001199226,46.83800295085652,0.0,100.0,2.798140383558504,45.03,50.07,,26,26,26,0.0
aoko,aoko_set_04,mixed,Baseline,C005;C001;C014;C025,杨;柳爱时;Impey Barbicane;平重衡,C026,YOFY,26,45.54878427128427,46.80981514926046,0.0,100.0,2.211734250992059,47.31,54.41,,26,25,26,0.0
aoko,aoko_set_04,mixed,Experiment A,C005;C001;C014;C025,杨;柳爱时;Impey Barbicane;平重衡,C026,YOFY,26,46.60671717171717,47.751231680645745,0.0,100.0,2.2057992311507846,47.31,54.41,,26,25,26,0.0
aoko,aoko_set_04,mixed,Experiment B,C005;C001;C014;C025,杨;柳爱时;Impey Barbicane;平重衡,C026,YOFY,25,46.9129960953281,48.121843016434845,4.0,96.15384615384616,2.2104414497717357,47.31,54.41,,26,25,26,0.0
aoko,aoko_set_04,mixed,Experiment C,C005;C001;C014;C025,杨;柳爱时;Impey Barbicane;平重衡,C026,YOFY,25,48.20083496124169,49.29001532576482,4.0,96.15384615384616,1.3836342717421743,47.31,54.41,,26,25,26,0.0
aoko,aoko_set_04,mixed,Baseline,C005;C001;C014;C026,杨;柳爱时;Impey Barbicane;YOFY,C025,平重衡,25,51.50164682539682,52.23391133432539,4.0,96.15384615384616,2.192524558677647,52.67,61.5,,25,16,25,0.0
aoko,aoko_set_04,mixed,Experiment A,C005;C001;C014;C026,杨;柳爱时;Impey Barbicane;YOFY,C025,平重衡,24,53.180322420634916,53.78388547867063,8.0,92.3076923076923,1.572586207399631,52.67,61.5,,25,16,25,0.0
aoko,aoko_set_04,mixed,Experiment B,C005;C001;C014;C026,杨;柳爱时;Impey Barbicane;YOFY,C025,平重衡,24,54.19993816673573,54.88554387313309,8.0,92.3076923076923,1.343590671670384,52.67,61.5,,25,16,25,0.0
